"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"1",0,"m1",1,1,0,0,0,0,0,0,0,0
"2",0.01,"m1",1,1,0,-0.000981,-4.8e-05,0,-0.0981,-4.8e-05,0,-0.0981
"3",0.02,"m1",1,0.999996,0,-0.002943,-0.000385,0,-0.196199,-0.000385,0,-0.196199
"4",0.03,"m1",1,0.999983,0,-0.005886,-0.001299,0,-0.294294,-0.001299,0,-0.294294
"5",0.04,"m1",1,0.999952,0,-0.00981,-0.003079,0,-0.392376,-0.003079,0,-0.392376
"6",0.05,"m1",1,0.999892,0,-0.014714,-0.006014,0,-0.490433,-0.006014,0,-0.490433
"7",0.06,"m1",1,0.999788,0,-0.020598,-0.010391,0,-0.588443,-0.010391,0,-0.588443
"8",0.07,"m1",1,0.999623,0,-0.027462,-0.016499,0,-0.686375,-0.016499,0,-0.686375
"9",0.08,"m1",1,0.999377,0,-0.035304,-0.024623,0,-0.784188,-0.024623,0,-0.784188
"10",0.09,"m1",1,0.999026,0,-0.044122,-0.035048,0,-0.881828,-0.035048,0,-0.881828
"11",0.1,"m1",1,0.998546,0,-0.053915,-0.048058,0,-0.979225,-0.048058,0,-0.979225
"12",0.11,"m1",1,0.997906,0,-0.064678,-0.063934,0,-1.076296,-0.063934,0,-1.076296
"13",0.12,"m1",1,0.997077,0,-0.076407,-0.08295,0,-1.172939,-0.08295,0,-1.172939
"14",0.13,"m1",1,0.996023,0,-0.089097,-0.105379,0,-1.269033,-0.105379,0,-1.269033
"15",0.14,"m1",1,0.994708,0,-0.102742,-0.131485,0,-1.364436,-0.131485,0,-1.364436
"16",0.15,"m1",1,0.993093,0,-0.117332,-0.161527,0,-1.458987,-0.161527,0,-1.458987
"17",0.16,"m1",1,0.991135,0,-0.132856,-0.195752,0,-1.552499,-0.195752,0,-1.552499
"18",0.17,"m1",1,0.988791,0,-0.149304,-0.234396,0,-1.644764,-0.234396,0,-1.644764
