"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"1",0,"m1",1,1,0,0,0,0,0,0,0,0
"2",0.01,"m1",1,1,-0.000245,0,0,-0.04905,0,0,-0.04905,0
"3",0.02,"m1",1,1,-0.001717,0,0,-0.14715,0,0,-0.14715,0
"4",0.03,"m1",1,1,-0.004169,0,0,-0.24525,0,0,-0.24525,0
"5",0.04,"m1",1,1,-0.007603,0,0,-0.34335,0,0,-0.34335,0
"6",0.05,"m1",1,1,-0.012017,0,0,-0.44145,0,0,-0.44145,0
"7",0.06,"m1",1,1,-0.017413,0,0,-0.53955,0,0,-0.53955,0
"8",0.07,"m1",1,1,-0.023789,0,0,-0.63765,0,0,-0.63765,0
"9",0.08,"m1",1,1,-0.031147,0,0,-0.73575,0,0,-0.73575,0
"10",0.09,"m1",1,1,-0.039485,0,0,-0.83385,0,0,-0.83385,0
"11",0.1,"m1",1,1,-0.048805,0,0,-0.93195,0,0,-0.93195,0
"12",0.11,"m1",1,1,-0.059105,0,0,-1.03005,0,0,-1.03005,0
"13",0.12,"m1",1,1,-0.070387,0,0,-1.12815,0,0,-1.12815,0
"14",0.13,"m1",1,1,-0.082649,0,0,-1.22625,0,0,-1.22625,0
"15",0.14,"m1",1,1,-0.095893,0,0,-1.32435,0,0,-1.32435,0
"16",0.15,"m1",1,1,-0.110117,0,0,-1.42245,0,0,-1.42245,0
"17",0.16,"m1",1,1,-0.125323,0,0,-1.52055,0,0,-1.52055,0
"18",0.17,"m1",1,1,-0.141509,0,0,-1.61865,0,0,-1.61865,0
"19",0.18,"m1",1,1,-0.158677,0,0,-1.71675,0,0,-1.71675,0
"20",0.19,"m1",1,1,-0.176825,0,0,-1.81485,0,0,-1.81485,0
"21",0.2,"m1",1,1,-0.195955,0,0,-1.91295,0,0,-1.91295,0
"22",0.21,"m1",1,1,-0.216065,0,0,-2.01105,0,0,-2.01105,0
"23",0.22,"m1",1,1,-0.237157,0,0,-2.10915,0,0,-2.10915,0
"24",0.23,"m1",1,1,-0.259229,0,0,-2.20725,0,0,-2.20725,0
"25",0.24,"m1",1,1,-0.282283,0,0,-2.30535,0,0,-2.30535,0
"26",0.25,"m1",1,1,-0.306317,0,0,-2.40345,0,0,-2.40345,0
"27",0.26,"m1",1,1,-0.331333,0,0,-2.50155,0,0,-2.50155,0
"28",0.27,"m1",1,1,-0.357329,0,0,-2.59965,0,0,-2.59965,0
"29",0.28,"m1",1,1,-0.384307,0,0,-2.69775,0,0,-2.69775,0
"30",0.29,"m1",1,1,-0.412265,0,0,-2.79585,0,0,-2.79585,0
"31",0.3,"m1",1,1,-0.441205,0,0,-2.89395,0,0,-2.89395,0
"32",0.31,"m1",1,1,-0.471125,0,0,-2.99205,0,0,-2.99205,0
"33",0.32,"m1",1,1,-0.502027,0,0,-3.09015,0,0,-3.09015,0
"34",0.33,"m1",1,1,-0.533909,0,0,-3.18825,0,0,-3.18825,0
"35",0.34,"m1",1,1,-0.566773,0,0,-3.28635,0,0,-3.28635,0
"36",0.35,"m1",1,1,-0.600617,0,0,-3.38445,0,0,-3.38445,0
"37",0.36,"m1",1,1,-0.635443,0,0,-3.48255,0,0,-3.48255,0
"38",0.37,"m1",1,1,-0.671249,0,0,-3.58065,0,0,-3.58065,0
"39",0.38,"m1",1,1,-0.708037,0,0,-3.67875,0,0,-3.67875,0
"40",0.39,"m1",1,1,-0.745805,0,0,-3.77685,0,0,-3.77685,0
"41",0.4,"m1",1,1,-0.784555,0,0,-3.87495,0,0,-3.87495,0
"42",0.41,"m1",1,1,-0.824285,0,0,-3.97305,0,0,-3.97305,0
"43",0.42,"m1",1,1,-0.864997,0,0,-4.07115,0,0,-4.07115,0
"44",0.43,"m1",1,1,-0.906689,0,0,-4.16925,0,0,-4.16925,0
"45",0.44,"m1",1,1,-0.949363,0,0,-4.26735,0,0,-4.26735,0
"46",0.45,"m1",1,1,-0.993017,0,0,-4.36545,0,0,-4.36545,0
"47",0.46,"m1",1,1,-1.037653,0,0,-4.46355,0,0,-4.46355,0
"48",0.47,"m1",1,1,-1.083269,0,0,-4.56165,0,0,-4.56165,0
"49",0.48,"m1",1,1,-1.129867,0,0,-4.65975,0,0,-4.65975,0
"50",0.49,"m1",1,1,-1.177445,0,0,-4.75785,0,0,-4.75785,0
"51",0.5,"m1",1,1,-1.226005,0,0,-4.85595,0,0,-4.85595,0
"52",0.51,"m1",1,1,-1.275545,0,0,-4.95405,0,0,-4.95405,0
"53",0.52,"m1",1,1,-1.326067,0,0,-5.05215,0,0,-5.05215,0
"54",0.53,"m1",1,1,-1.377569,0,0,-5.15025,0,0,-5.15025,0
"55",0.54,"m1",1,1,-1.430053,0,0,-5.24835,0,0,-5.24835,0
"56",0.55,"m1",1,1,-1.483517,0,0,-5.34645,0,0,-5.34645,0
"57",0.56,"m1",1,1,-1.537963,0,0,-5.44455,0,0,-5.44455,0
"58",0.57,"m1",1,1,-1.593389,0,0,-5.54265,0,0,-5.54265,0
"59",0.58,"m1",1,1,-1.649797,0,0,-5.64075,0,0,-5.64075,0
"60",0.59,"m1",1,1,-1.707185,0,0,-5.73885,0,0,-5.73885,0
"61",0.6,"m1",1,1,-1.765555,0,0,-5.83695,0,0,-5.83695,0
"62",0.61,"m1",1,1,-1.824905,0,0,-5.93505,0,0,-5.93505,0
"63",0.62,"m1",1,1,-1.885237,0,0,-6.03315,0,0,-6.03315,0
"64",0.63,"m1",1,1,-1.946549,0,0,-6.13125,0,0,-6.13125,0
"65",0.64,"m1",1,1,-2.008843,0,0,-6.22935,0,0,-6.22935,0
"66",0.65,"m1",1,1,-2.072117,0,0,-6.32745,0,0,-6.32745,0
"67",0.66,"m1",1,1,-2.136373,0,0,-6.42555,0,0,-6.42555,0
"68",0.67,"m1",1,1,-2.201609,0,0,-6.52365,0,0,-6.52365,0
"69",0.68,"m1",1,1,-2.267827,0,0,-6.62175,0,0,-6.62175,0
"70",0.69,"m1",1,1,-2.335025,0,0,-6.71985,0,0,-6.71985,0
"71",0.7,"m1",1,1,-2.403205,0,0,-6.81795,0,0,-6.81795,0
"72",0.71,"m1",1,1,-2.472365,0,0,-6.91605,0,0,-6.91605,0
"73",0.72,"m1",1,1,-2.542507,0,0,-7.01415,0,0,-7.01415,0
"74",0.73,"m1",1,1,-2.613629,0,0,-7.11225,0,0,-7.11225,0
"75",0.74,"m1",1,1,-2.685733,0,0,-7.21035,0,0,-7.21035,0
"76",0.75,"m1",1,1,-2.758817,0,0,-7.30845,0,0,-7.30845,0
"77",0.76,"m1",1,1,-2.832883,0,0,-7.40655,0,0,-7.40655,0
"78",0.77,"m1",1,1,-2.907929,0,0,-7.50465,0,0,-7.50465,0
"79",0.78,"m1",1,1,-2.983957,0,0,-7.60275,0,0,-7.60275,0
"80",0.79,"m1",1,1,-3.060965,0,0,-7.70085,0,0,-7.70085,0
"81",0.8,"m1",1,1,-3.138955,0,0,-7.79895,0,0,-7.79895,0
"82",0.81,"m1",1,1,-3.217925,0,0,-7.89705,0,0,-7.89705,0
"83",0.82,"m1",1,1,-3.297877,0,0,-7.99515,0,0,-7.99515,0
"84",0.83,"m1",1,1,-3.378809,0,0,-8.09325,0,0,-8.09325,0
"85",0.84,"m1",1,1,-3.460723,0,0,-8.19135,0,0,-8.19135,0
"86",0.85,"m1",1,1,-3.543617,0,0,-8.28945,0,0,-8.28945,0
"87",0.86,"m1",1,1,-3.627493,0,0,-8.38755,0,0,-8.38755,0
"88",0.87,"m1",1,1,-3.712349,0,0,-8.48565,0,0,-8.48565,0
"89",0.88,"m1",1,1,-3.798187,0,0,-8.58375,0,0,-8.58375,0
"90",0.89,"m1",1,1,-3.885005,0,0,-8.68185,0,0,-8.68185,0
"91",0.9,"m1",1,1,-3.972805,0,0,-8.77995,0,0,-8.77995,0
"92",0.91,"m1",1,1,-4.061585,0,0,-8.87805,0,0,-8.87805,0
