"","x1","x2","y1","y2","z1","z2","E","t","t_sub"
"1",0,1,0,0,0,0,-0.001753,0,1
"2",0,1,0,0.007,0,0,-0.0017529,0.01,1
"3",2e-07,0.9998002,0,0.014,0,0,-0.0017531,0.02,1
"4",4e-07,0.99960043,0,0.0209972,0,0,-0.0017531,0.03,1
"5",8e-07,0.99920076,1e-08,0.0279944,0,0,-0.00175341,0.04,1
"6",1.2e-06,0.9988012,1e-08,0.03498601,0,0,-0.00175351,0.05,2
"7",1.8e-06,0.99820155,2e-08,0.04197761,0,0,-0.00175392,0.06,2
"8",2.4e-06,0.99760215,4e-08,0.04896081,0,0,-0.00175413,0.07,2
"9",3.2e-06,0.99680235,6e-08,0.05594399,0,0,-0.00175463,0.08,2
"10",4e-06,0.99600302,8e-08,0.06291598,0,0,-0.00175494,0.09,2
"11",5e-06,0.99500288,1.1e-07,0.06988791,0,0,-0.00175555,0.1,3
"12",6e-06,0.99400348,1.5e-07,0.07684586,0,0,-0.00175597,0.11,3
"13",7.2e-06,0.99280275,2e-07,0.08380368,0,0,-0.00175668,0.12,3
"14",8.41e-06,0.99160309,2.6e-07,0.09074474,0,0,-0.0017572,0.13,3
"15",9.81e-06,0.9902015,3.1e-07,0.0976856,0,0,-0.00175802,0.14,3
"16",1.121e-05,0.98880135,3.9e-07,0.1046069,0,0,-0.00175864,0.15,4
"17",1.281e-05,0.98719856,4.7e-07,0.11152789,0,0,-0.00175957,0.16,4
"18",1.442e-05,0.98559766,5.7e-07,0.11842653,0,0,-0.0017603,0.17,4
"19",1.622e-05,0.98379332,6.8e-07,0.12532473,0,0,-0.00176133,0.18,4
"20",1.803e-05,0.98199135,8e-07,0.13219778,0,0,-0.00176217,0.19,4
"21",2.004e-05,0.97998503,9.3e-07,0.13907022,0,0,-0.00176331,0.2,5
"22",2.204e-05,0.97798165,1.09e-06,0.14591473,0,0,-0.00176425,0.21,5
"23",2.425e-05,0.9757729,1.24e-06,0.15275841,0,0,-0.00176551,0.22,5
"24",2.646e-05,0.97356771,1.43e-06,0.15957137,0,0,-0.00176656,0.23,5
"25",2.887e-05,0.97115603,1.62e-06,0.16638323,0,0,-0.00176793,0.24,5
"26",3.128e-05,0.96874859,1.84e-06,0.17316159,0,0,-0.00176909,0.25,6
"27",3.39e-05,0.96613344,2.06e-06,0.17993854,0,0,-0.00177057,0.26,6
"28",3.651e-05,0.96352327,2.32e-06,0.1866792,0,0,-0.00177185,0.27,6
"29",3.934e-05,0.96070406,2.58e-06,0.19341808,0,0,-0.00177345,0.28,6
"30",4.215e-05,0.95789063,2.88e-06,0.2001179,0,0,-0.00177484,0.29,6
"31",4.518e-05,0.95486675,3.19e-06,0.2068155,0,0,-0.00177656,0.3,7
"32",4.82e-05,0.95184949,3.53e-06,0.21347125,0,0,-0.00177807,0.31,7
"33",5.143e-05,0.94862025,3.88e-06,0.22012428,0,0,-0.00177991,0.32,7
"34",5.466e-05,0.94539856,4.27e-06,0.22673269,0,0,-0.00178154,0.33,7
"35",5.809e-05,0.94196325,4.67e-06,0.23333781,0,0,-0.0017835,0.34,7
"36",6.153e-05,0.93853647,5.11e-06,0.23989553,0,0,-0.00178525,0.35,8
"37",6.517e-05,0.93489433,5.56e-06,0.24644929,0,0,-0.00178734,0.36,8
"38",6.881e-05,0.93126175,6.05e-06,0.25295289,0,0,-0.00178922,0.37,8
"39",7.266e-05,0.92741198,6.55e-06,0.25945178,0,0,-0.00179144,0.38,8
"40",7.65e-05,0.92357288,7.11e-06,0.26589774,0,0,-0.00179345,0.39,8
"41",8.057e-05,0.91951463,7.67e-06,0.27233817,0,0,-0.0017958,0.4,9
"42",8.462e-05,0.91546822,8.29e-06,0.27872289,0,0,-0.00179794,0.41,9
"43",8.889e-05,0.91120061,8.91e-06,0.28510114,0,0,-0.00180043,0.42,9
"44",9.315e-05,0.90694605,9.59e-06,0.29142091,0,0,-0.00180271,0.43,9
"45",9.763e-05,0.90246814,1.028e-05,0.29773318,0,0,-0.00180534,0.44,9
"46",0.0001021,0.89800457,1.103e-05,0.30398419,0,0,-0.00180775,0.45,10
"47",0.00010679,0.89331539,1.179e-05,0.31022655,0,0,-0.00181054,0.46,10
"48",0.00011147,0.8886419,1.261e-05,0.31640488,0,0,-0.00181309,0.47,10
"49",0.00011638,0.88374042,1.344e-05,0.32257328,0,0,-0.00181603,0.48,10
"50",0.00012127,0.87885605,1.434e-05,0.32867489,0,0,-0.00181873,0.49,10
"51",0.00012639,0.87374123,1.525e-05,0.33476516,0,0,-0.00182182,0.5,11
"52",0.00013149,0.86864499,1.623e-05,0.34078586,0,0,-0.00182468,0.51,11
"53",0.00013682,0.86331572,1.722e-05,0.34679367,0,0,-0.00182793,0.52,11
"54",0.00014214,0.85800656,1.829e-05,0.35272915,0,0,-0.00183095,0.53,11
"55",0.00014769,0.8524617,1.937e-05,0.35865004,0,0,-0.00183437,0.54,11
"56",0.00015321,0.84693856,2.052e-05,0.36449581,0,0,-0.00183754,0.55,12
"57",0.00015898,0.84117692,2.17e-05,0.37032516,0,0,-0.00184114,0.56,12
"58",0.00016473,0.83543868,2.295e-05,0.37607659,0,0,-0.00184449,0.57,12
"59",0.00017071,0.82945906,2.421e-05,0.38180958,0,0,-0.00184826,0.58,12
"60",0.00017667,0.82350456,2.556e-05,0.38746187,0,0,-0.00185179,0.59,12
"61",0.00018288,0.81730569,2.693e-05,0.39309351,0,0,-0.00185575,0.6,13
"62",0.00018906,0.81113375,2.839e-05,0.39864165,0,0,-0.00185946,0.61,13
"63",0.00019548,0.80471434,2.986e-05,0.40416676,0,0,-0.00186361,0.62,13
"64",0.00020188,0.79832374,3.143e-05,0.40960554,0,0,-0.00186751,0.63,13
"65",0.00020853,0.79168247,3.301e-05,0.41501871,0,0,-0.00187187,0.64,13
"66",0.00021514,0.78507195,3.469e-05,0.42034273,0,0,-0.00187597,0.65,14
"67",0.00022201,0.77820746,3.64e-05,0.42563833,0,0,-0.00188054,0.66,14
"68",0.00022885,0.77137575,3.82e-05,0.43084193,0,0,-0.00188485,0.67,14
"69",0.00023595,0.76428667,4.003e-05,0.43601407,0,0,-0.00188964,0.68,14
"70",0.00024301,0.75723245,4.195e-05,0.44109135,0,0,-0.00189417,0.69,14
"71",0.00025033,0.74991737,4.391e-05,0.44613388,0,0,-0.00189919,0.7,15
"72",0.00025762,0.74263932,4.597e-05,0.45107868,0,0,-0.00190394,0.71,15
"73",0.00026517,0.73509681,4.806e-05,0.45598519,0,0,-0.00190921,0.72,15
"74",0.00027268,0.72759359,5.026e-05,0.46079104,0,0,-0.0019142,0.73,15
"75",0.00028046,0.71982223,5.25e-05,0.46555478,0,0,-0.00191972,0.74,15
"76",0.0002882,0.71209247,5.484e-05,0.47021492,0,0,-0.00192496,0.75,16
"77",0.00029621,0.70409082,5.723e-05,0.47482883,0,0,-0.00193075,0.76,16
"78",0.00030417,0.69613317,5.972e-05,0.47933616,0,0,-0.00193624,0.77,16
"79",0.00031241,0.68789978,6.227e-05,0.48379281,0,0,-0.00194231,0.78,16
