"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"1",0,"m1",1,100,40,0,0,0,0,0,0,0
"2",0.01,"m1",1,99.999915,39.999543,0,-0.016914,-0.091334,0,-0.016914,-0.091334,0
"3",0.02,"m1",1,99.999408,39.996803,0,-0.050741,-0.274003,0,-0.050741,-0.274003,0
"4",0.03,"m1",1,99.998562,39.992237,0,-0.084569,-0.456672,0,-0.084569,-0.456672,0
"5",0.04,"m1",1,99.997378,39.985843,0,-0.118397,-0.639341,0,-0.118397,-0.639341,0
"6",0.05,"m1",1,99.995856,39.977623,0,-0.152224,-0.82201,0,-0.152224,-0.82201,0
"7",0.06,"m1",1,99.993996,39.967576,0,-0.186052,-1.004679,0,-0.186052,-1.004679,0
"8",0.07,"m1",1,99.991797,39.955703,0,-0.219879,-1.187348,0,-0.219879,-1.187348,0
"9",0.08,"m1",1,99.98926,39.942003,0,-0.253707,-1.370017,0,-0.253707,-1.370017,0
"10",0.09,"m1",1,99.986384,39.926476,0,-0.287534,-1.552686,0,-0.287534,-1.552686,0
"11",0.1,"m1",1,99.983171,39.909122,0,-0.321362,-1.735355,0,-0.321362,-1.735355,0
"12",0.11,"m1",1,99.979619,39.889942,0,-0.35519,-1.918024,0,-0.35519,-1.918024,0
"13",0.12,"m1",1,99.975729,39.868935,0,-0.389017,-2.100693,0,-0.389017,-2.100693,0
"14",0.13,"m1",1,99.9715,39.846101,0,-0.422845,-2.283362,0,-0.422845,-2.283362,0
"15",0.14,"m1",1,99.966934,39.821441,0,-0.456672,-2.466031,0,-0.456672,-2.466031,0
"16",0.15,"m1",1,99.962029,39.794954,0,-0.4905,-2.6487,0,-0.4905,-2.6487,0
"17",0.16,"m1",1,99.956785,39.76664,0,-0.524328,-2.831369,0,-0.524328,-2.831369,0
"18",0.17,"m1",1,99.951204,39.7365,0,-0.558155,-3.014038,0,-0.558155,-3.014038,0
"19",0.18,"m1",1,99.945284,39.704533,0,-0.591983,-3.196707,0,-0.591983,-3.196707,0
"20",0.19,"m1",1,99.939026,39.670739,0,-0.62581,-3.379376,0,-0.62581,-3.379376,0
"21",0.2,"m1",1,99.932429,39.635119,0,-0.659638,-3.562045,0,-0.659638,-3.562045,0
"22",0.21,"m1",1,99.925495,39.597672,0,-0.693466,-3.744714,0,-0.693466,-3.744714,0
"23",0.22,"m1",1,99.918222,39.558398,0,-0.727293,-3.927383,0,-0.727293,-3.927383,0
"24",0.23,"m1",1,99.910611,39.517297,0,-0.761121,-4.110052,0,-0.761121,-4.110052,0
"25",0.24,"m1",1,99.902661,39.47437,0,-0.794948,-4.292721,0,-0.794948,-4.292721,0
"26",0.25,"m1",1,99.894373,39.429616,0,-0.828776,-4.47539,0,-0.828776,-4.47539,0
"27",0.26,"m1",1,99.885747,39.383036,0,-0.862603,-4.658059,0,-0.862603,-4.658059,0
"28",0.27,"m1",1,99.876783,39.334628,0,-0.896431,-4.840728,0,-0.896431,-4.840728,0
"29",0.28,"m1",1,99.86748,39.284394,0,-0.930259,-5.023397,0,-0.930259,-5.023397,0
"30",0.29,"m1",1,99.85784,39.232334,0,-0.964086,-5.206066,0,-0.964086,-5.206066,0
"31",0.3,"m1",1,99.84786,39.178446,0,-0.997914,-5.388734,0,-0.997914,-5.388734,0
"32",0.31,"m1",1,99.837543,39.122732,0,-1.031741,-5.571403,0,-1.031741,-5.571403,0
"33",0.32,"m1",1,99.826887,39.065192,0,-1.065569,-5.754072,0,-1.065569,-5.754072,0
"34",0.33,"m1",1,99.815893,39.005824,0,-1.099397,-5.936741,0,-1.099397,-5.936741,0
"35",0.34,"m1",1,99.804561,38.94463,0,-1.133224,-6.11941,0,-1.133224,-6.11941,0
"36",0.35,"m1",1,99.792891,38.881609,0,-1.167052,-6.302079,0,-1.167052,-6.302079,0
"37",0.36,"m1",1,99.780882,38.816762,0,-1.200879,-6.484748,0,-1.200879,-6.484748,0
"38",0.37,"m1",1,99.768535,38.750088,0,-1.234707,-6.667417,0,-1.234707,-6.667417,0
"39",0.38,"m1",1,99.755849,38.681587,0,-1.268534,-6.850086,0,-1.268534,-6.850086,0
"40",0.39,"m1",1,99.742826,38.611259,0,-1.302362,-7.032755,0,-1.302362,-7.032755,0
"41",0.4,"m1",1,99.729464,38.539105,0,-1.33619,-7.215424,0,-1.33619,-7.215424,0
"42",0.41,"m1",1,99.715764,38.465124,0,-1.370017,-7.398093,0,-1.370017,-7.398093,0
"43",0.42,"m1",1,99.701725,38.389316,0,-1.403845,-7.580762,0,-1.403845,-7.580762,0
"44",0.43,"m1",1,99.687349,38.311682,0,-1.437672,-7.763431,0,-1.437672,-7.763431,0
"45",0.44,"m1",1,99.672634,38.232221,0,-1.4715,-7.9461,0,-1.4715,-7.9461,0
"46",0.45,"m1",1,99.65758,38.150933,0,-1.505328,-8.128769,0,-1.505328,-8.128769,0
"47",0.46,"m1",1,99.642189,38.067819,0,-1.539155,-8.311438,0,-1.539155,-8.311438,0
"48",0.47,"m1",1,99.626459,37.982878,0,-1.572983,-8.494107,0,-1.572983,-8.494107,0
"49",0.48,"m1",1,99.610391,37.89611,0,-1.60681,-8.676776,0,-1.60681,-8.676776,0
"50",0.49,"m1",1,99.593984,37.807516,0,-1.640638,-8.859445,0,-1.640638,-8.859445,0
"51",0.5,"m1",1,99.57724,37.717095,0,-1.674466,-9.042114,0,-1.674466,-9.042114,0
"52",0.51,"m1",1,99.560157,37.624847,0,-1.708293,-9.224783,0,-1.708293,-9.224783,0
"53",0.52,"m1",1,99.542736,37.530772,0,-1.742121,-9.407452,0,-1.742121,-9.407452,0
"54",0.53,"m1",1,99.524976,37.434871,0,-1.775948,-9.590121,0,-1.775948,-9.590121,0
"55",0.54,"m1",1,99.506878,37.337143,0,-1.809776,-9.77279,0,-1.809776,-9.77279,0
