"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"1",0,"m1",1,1,0,0,0,0,0,0,0,0
"2",0,"m2",0.5,2,0,0,0,0,0,0,0,0
"3",0,"m3",1,2.7,0,0,0,0,0,0,0,0
"4",0.01,"m1",1,1,-0.000245,0,-3e-06,-0.024525,0,-3e-06,-0.024525,0
"5",0.01,"m2",0.5,2,-0.000123,0,-1e-06,-0.012262,0,-5e-07,-0.006131,0
"6",0.01,"m3",1,2.7,-0.000245,0,-4e-06,-0.024525,0,-4e-06,-0.024525,0
"7",0.02,"m1",1,0.999999,-0.001471,0,-0.000105,-0.122625,0,-0.000105,-0.122625,0
"8",0.02,"m2",0.5,2,-0.000736,0,-1.4e-05,-0.061312,0,-7e-06,-0.030656,0
"9",0.02,"m3",1,2.699999,-0.001471,0,-0.000126,-0.122625,0,-0.000126,-0.122625,0
"10",0.03,"m1",1,0.999993,-0.003679,0,-0.000568,-0.220723,0,-0.000568,-0.220723,0
"11",0.03,"m2",0.5,1.999999,-0.001839,0,-1e-04,-0.110362,0,-5e-05,-0.055181,0
"12",0.03,"m3",1,2.699994,-0.003679,0,-0.000503,-0.220723,0,-0.000503,-0.220723,0
"13",0.04,"m1",1,0.999976,-0.006867,0,-0.001681,-0.318816,0,-0.001681,-0.318816,0
"14",0.04,"m2",0.5,1.999993,-0.003434,0,-0.000565,-0.159413,0,-0.0002825,-0.0797065,0
"15",0.04,"m3",1,2.699981,-0.006867,0,-0.001287,-0.318818,0,-0.001287,-0.318818,0
"16",0.05,"m1",1,0.999939,-0.011036,0,-0.003732,-0.416893,0,-0.003732,-0.416893,0
"17",0.05,"m2",0.5,1.999976,-0.005518,0,-0.001769,-0.208464,0,-0.0008845,-0.104232,0
"18",0.05,"m3",1,2.699952,-0.011036,0,-0.002888,-0.4169,0,-0.002888,-0.4169,0
"19",0.06,"m1",1,0.999869,-0.016185,0,-0.007009,-0.51494,0,-0.007009,-0.51494,0
"20",0.06,"m2",0.5,1.999935,-0.008093,0,-0.004074,-0.257521,0,-0.002037,-0.1287605,0
"21",0.06,"m3",1,2.699894,-0.016185,0,-0.005769,-0.514956,0,-0.005769,-0.514956,0
"22",0.07,"m1",1,0.999751,-0.022315,0,-0.011801,-0.612933,0,-0.011801,-0.612933,0
"23",0.07,"m2",0.5,1.999856,-0.011159,0,-0.007839,-0.30659,0,-0.0039195,-0.153295,0
"24",0.07,"m3",1,2.69979,-0.022315,0,-0.010394,-0.612962,0,-0.010394,-0.612962,0
"25",0.08,"m1",1,0.999567,-0.029423,0,-0.018395,-0.710839,0,-0.018395,-0.710839,0
"26",0.08,"m2",0.5,1.999722,-0.014716,0,-0.013425,-0.355682,0,-0.0067125,-0.177841,0
"27",0.08,"m3",1,2.699618,-0.029424,0,-0.017223,-0.710884,0,-0.017223,-0.710884,0
"28",0.09,"m1",1,0.999296,-0.037509,0,-0.027076,-0.808613,0,-0.027076,-0.808613,0
