"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz","ke","pe","te"
"1",0,"m1",1,1,0,0,0,0,0,0,0,0,0,0,0
"21",0.1,"m1",1,0.998546,0,-0.053915,-0.048058,0,-0.979225,-0.048058,0,-0.979225,0.4805955859945,-0.52890615,-0.0483105640054999
"41",0.2,"m1",1,0.978966,0,-0.204022,-0.378992,0,-1.911609,-0.378992,0,-1.911609,1.8989419524725,-2.00145582,-0.102513867527501
"61",0.3,"m1",1,0.899916,0,-0.436063,-1.209862,0,-2.590563,-1.209862,0,-2.590563,4.0873913580065,-4.27777803,-0.1903866719935
"81",0.4,"m1",1,0.710532,0,-0.703665,-2.497416,0,-2.614682,-2.497416,0,-2.614682,6.53682431909,-6.90295365,-0.366129330910001
"101",0.5,"m1",1,0.389129,0,-0.921183,-3.73511,0,-1.668631,-3.73511,0,-1.668631,8.3676880631305,-9.03680523,-0.6691171668695
"121",0.6,"m1",1,-0.017906,0,-0.99984,-4.183728,0,-0.012605,-4.183728,0,-0.012605,8.7518694320045,-9.8084304,-1.0565609679955
"141",0.7,"m1",1,-0.410259,0,-0.911969,-3.570261,0,1.523506,-3.570261,0,1.523506,7.5339170700785,-8.94641589,-1.4124988199215
"161",0.8,"m1",1,-0.702641,0,-0.711545,-2.359944,0,2.255528,-2.359944,0,2.255528,5.32837112096,-6.98025645,-1.65188532904
"181",0.9,"m1",1,-0.873286,0,-0.487208,-1.219596,0,2.124455,-1.219596,0,2.124455,3.0003617251205,-4.77951048,-1.7791487548795
"201",1,"m1",1,-0.951218,0,-0.308518,-0.48529,0,1.45797,-0.48529,0,1.45797,1.1805914525,-3.02656158,-1.8459701275
"221",1.1,"m1",1,-0.977582,0,-0.210557,-0.124847,0,0.571516,-0.124847,0,0.571516,0.1711086558325,-2.06556417,-1.8944555141675
"241",1.2,"m1",1,-0.978752,0,-0.205049,0.076458,0,-0.368406,0.076458,0,-0.368406,0.0707844033,-2.01153069,-1.9407462867
"261",1.3,"m1",1,-0.95634,0,-0.292258,0.379132,0,-1.270695,0.379132,0,-1.270695,0.8792034282245,-2.86705098,-1.9878475517755
"281",1.4,"m1",1,-0.887292,0,-0.461209,1.004722,0,-1.986655,1.004722,0,-1.986655,2.4781321931545,-4.52446029,-2.0463280968455
"301",1.5,"m1",1,-0.734289,0,-0.678837,2.005897,0,-2.236218,2.005897,0,-2.236218,4.5121468590665,-6.65939097,-2.1472441109335
"321",1.6,"m1",1,-0.471982,0,-0.881608,3.104406,0,-1.733695,3.104406,0,-1.733695,6.3215174829305,-8.64857448,-2.3270569970695
"341",1.7,"m1",1,-0.120176,0,-0.992753,3.746626,0,-0.525632,3.746626,0,-0.525632,7.15674769165,-9.73890693,-2.58215923835
"361",1.8,"m1",1,0.250621,0,-0.968085,3.546264,0,0.849387,3.546264,0,0.849387,6.6487233167325,-9.49691385,-2.8481905332675
"381",1.9,"m1",1,0.560472,0,-0.828174,2.665904,0,1.742919,2.665904,0,1.742919,5.0724053888885,-8.12438694,-3.0519815511115
"401",2,"m1",1,0.768684,0,-0.639629,1.616812,0,1.894535,1.616812,0,1.894535,3.1016719547845,-6.27476049,-3.1730885352155
"421",2.1,"m1",1,0.882386,0,-0.470526,0.792792,0,1.457486,0.792792,0,1.457486,1.37639229773,-4.61586006,-3.23946776227
"441",2.2,"m1",1,0.931228,0,-0.364436,0.28006,0,0.707678,0.28006,0,0.707678,0.289620877642,-3.57511716,-3.285496282358
"461",2.3,"m1",1,0.940218,0,-0.340572,-0.054388,0,-0.150524,-0.054388,0,-0.150524,0.01280776456,-3.34101132,-3.32820355544
"481",2.4,"m1",1,0.91556,0,-0.402182,-0.425789,0,-0.983584,-0.425789,0,-0.983584,0.5743668787885,-3.94540542,-3.3710385412115
"501",2.5,"m1",1,0.842417,0,-0.538825,-1.025146,0,-1.637377,-1.025146,0,-1.637377,1.8659638807225,-5.28587325,-3.4199093692775
"521",2.6,"m1",1,0.693611,0,-0.72035,-1.900239,0,-1.879282,-1.900239,0,-1.879282,3.5713045463225,-7.0666335,-3.4953289536775
"541",2.7,"m1",1,0.451004,0,-0.892522,-2.835888,0,-1.490513,-2.835888,0,-1.490513,5.1319448758565,-8.75564082,-3.6236959441435
"561",2.8,"m1",1,0.131408,0,-0.991328,-3.402497,0,-0.510734,-3.402497,0,-0.510734,5.9189175268825,-9.72492768,-3.8060101531175
"581",2.9,"m1",1,-0.208218,0,-0.978082,-3.282836,0,0.641667,-3.282836,0,0.641667,5.5943743708925,-9.59498442,-4.0006100491075
"601",3,"m1",1,-0.500779,0,-0.865575,-2.570392,0,1.437006,-2.570392,0,1.437006,4.33595063885,-8.49129075,-4.15534011115
"621",3.1,"m1",1,-0.707467,0,-0.706746,-1.655429,0,1.619183,-1.655429,0,1.619183,2.681099380765,-6.93317826,-4.252078879235
"641",3.2,"m1",1,-0.828166,0,-0.560483,-0.87442,0,1.270808,-0.87442,0,1.270808,1.189781654632,-5.49833823,-4.308556575368
"661",3.3,"m1",1,-0.883753,0,-0.467955,-0.326971,0,0.612349,-0.326971,0,0.612349,0.240940666321,-4.59063855,-4.349697883679
"681",3.4,"m1",1,-0.893528,0,-0.449007,0.081296,0,-0.162147,0.081296,0,-0.162147,0.0164503446125,-4.40475867,-4.3883083253875
"701",3.5,"m1",1,-0.862033,0,-0.506851,0.524562,0,-0.902912,0.524562,0,-0.902912,0.545207685794,-4.97220831,-4.427000624206
"721",3.6,"m1",1,-0.77707,0,-0.629415,1.148579,0,-1.445094,1.148579,0,-1.445094,1.7037651940385,-6.17456115,-4.4707959559615
"741",3.7,"m1",1,-0.618633,0,-0.78568,1.959106,0,-1.582944,1.959106,0,-1.582944,3.171904013186,-7.7075208,-4.535616786814
"761",3.8,"m1",1,-0.378004,0,-0.925804,2.742512,0,-1.167749,2.742512,0,-1.167749,4.4425048985725,-9.08213724,-4.6396323414275
"781",3.9,"m1",1,-0.076969,0,-0.997033,3.148995,0,-0.293256,3.148995,0,-0.293256,5.0010842957805,-9.78089373,-4.7798094342195
"801",4,"m1",1,0.232736,0,-0.97254,2.965662,0,0.662233,2.965662,0,0.662233,4.6168518222665,-9.5406174,-4.9237655777335
