"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"1",0,"m1",1,1,0,0,0,0,0,0,0,0
"2",0,"m2",1,2,0,0,0,0,0,0,0,0
"3",0.01,"m1",1,1,0,-0.000981,-4.8e-05,0,-0.0981,-4.8e-05,0,-0.0981
"4",0.01,"m2",1,2,0,-0.000981,-4.8e-05,0,-0.0981,-4.8e-05,0,-0.0981
"5",0.02,"m1",1,0.999996,0,-0.002943,-0.000385,0,-0.196199,-0.000385,0,-0.196199
"6",0.02,"m2",1,1.999996,0,-0.002943,-0.000385,0,-0.1962,-0.000385,0,-0.1962
"7",0.03,"m1",1,0.999983,0,-0.005886,-0.001299,0,-0.294294,-0.001299,0,-0.294294
"8",0.03,"m2",1,1.999983,0,-0.005886,-0.001299,0,-0.2943,-0.001299,0,-0.2943
"9",0.04,"m1",1,0.999952,0,-0.00981,-0.003079,0,-0.392376,-0.003079,0,-0.392376
"10",0.04,"m2",1,1.999952,0,-0.00981,-0.003079,0,-0.3924,-0.003079,0,-0.3924
"11",0.05,"m1",1,0.999892,0,-0.014714,-0.006014,0,-0.490433,-0.006014,0,-0.490433
"12",0.05,"m2",1,1.999892,0,-0.014715,-0.006014,0,-0.4905,-0.006014,0,-0.4905
"13",0.06,"m1",1,0.999788,0,-0.020598,-0.010391,0,-0.588443,-0.010391,0,-0.588443
"14",0.06,"m2",1,1.999788,0,-0.020601,-0.010391,0,-0.5886,-0.010391,0,-0.5886
"15",0.07,"m1",1,0.999623,0,-0.027462,-0.016499,0,-0.686375,-0.016499,0,-0.686375
"16",0.07,"m2",1,1.999623,0,-0.027468,-0.016499,0,-0.6867,-0.016499,0,-0.6867
"17",0.08,"m1",1,0.999377,0,-0.035304,-0.024623,0,-0.784188,-0.024623,0,-0.784188
"18",0.08,"m2",1,1.999377,0,-0.035316,-0.024623,0,-0.7848,-0.024623,0,-0.7848
"19",0.09,"m1",1,0.999026,0,-0.044122,-0.035048,0,-0.881828,-0.035048,0,-0.881828
"20",0.09,"m2",1,1.999026,0,-0.044145,-0.035048,0,-0.8829,-0.035048,0,-0.8829
"21",0.1,"m1",1,0.998546,0,-0.053915,-0.048058,0,-0.979225,-0.048058,0,-0.979225
"22",0.1,"m2",1,1.998546,0,-0.053955,-0.048059,0,-0.980999,-0.048059,0,-0.980999
"23",0.11,"m1",1,0.997906,0,-0.064678,-0.063934,0,-1.076296,-0.063934,0,-1.076296
"24",0.11,"m2",1,1.997906,0,-0.064746,-0.063934,0,-1.079098,-0.063934,0,-1.079098
"25",0.12,"m1",1,0.997077,0,-0.076407,-0.08295,0,-1.172939,-0.08295,0,-1.172939
"26",0.12,"m2",1,1.997077,0,-0.076518,-0.08295,0,-1.177196,-0.08295,0,-1.177196
"27",0.13,"m1",1,0.996023,0,-0.089097,-0.105379,0,-1.269033,-0.105379,0,-1.269033
"28",0.13,"m2",1,1.996023,0,-0.089271,-0.10538,0,-1.275292,-0.10538,0,-1.275292
"29",0.14,"m1",1,0.994708,0,-0.102742,-0.131485,0,-1.364436,-0.131485,0,-1.364436
