"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz","ke","pe","te"
"1",0,"m1",1,1,0,0,0,0,0,0,0,0,0,0,0
"2",0,"m2",1,2,0,0,0,0,0,0,0,0,0,0,0
"3",0.01,"m1",1,1,0,-0.000981,-4.8e-05,0,-0.0981,-4.8e-05,0,-0.0981,0.004811806152,-0.00962361,-0.004811803848
"4",0.01,"m2",1,2,0,-0.000981,-4.8e-05,0,-0.0981,-4.8e-05,0,-0.0981,0.004811806152,-0.00962361,-0.004811803848
"5",0.02,"m1",1,0.999996,0,-0.002943,-0.000385,0,-0.196199,-0.000385,0,-0.196199,0.019247097913,-0.02887083,-0.009623732087
"6",0.02,"m2",1,1.999996,0,-0.002943,-0.000385,0,-0.1962,-0.000385,0,-0.1962,0.0192472941125,-0.02887083,-0.0096235358875
"7",0.03,"m1",1,0.999983,0,-0.005886,-0.001299,0,-0.294294,-0.001299,0,-0.294294,0.0433053229185,-0.05774166,-0.0144363370815
"8",0.03,"m2",1,1.999983,0,-0.005886,-0.001299,0,-0.2943,-0.001299,0,-0.2943,0.0433070887005,-0.05774166,-0.0144345712995
"9",0.04,"m1",1,0.999952,0,-0.00981,-0.003079,0,-0.392376,-0.003079,0,-0.392376,0.0769842028085,-0.0962361,-0.0192518971915
"10",0.04,"m2",1,1.999952,0,-0.00981,-0.003079,0,-0.3924,-0.003079,0,-0.3924,0.0769936201205,-0.0962361,-0.0192424798795
"11",0.05,"m1",1,0.999892,0,-0.014714,-0.006014,0,-0.490433,-0.006014,0,-0.490433,0.1202803478425,-0.14434434,-0.0240639921575
"12",0.05,"m2",1,1.999892,0,-0.014715,-0.006014,0,-0.4905,-0.006014,0,-0.4905,0.120313209098,-0.14435415,-0.024040940902
"13",0.06,"m1",1,0.999788,0,-0.020598,-0.010391,0,-0.588443,-0.010391,0,-0.588443,0.173186568565,-0.20206638,-0.028879811435
"14",0.06,"m2",1,1.999788,0,-0.020601,-0.010391,0,-0.5886,-0.010391,0,-0.5886,0.1732789664405,-0.20209581,-0.0288168435595
