"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"1",0,"m1",1,1,0,0,0,0,0,0,0,0
"2",0.01,"m1",1,1,-0.000245,0,-3e-06,-0.024525,0,-3e-06,-0.024525,0
"3",0.02,"m1",1,0.999999,-0.001471,0,-0.000105,-0.122625,0,-0.000105,-0.122625,0
"4",0.03,"m1",1,0.999993,-0.003679,0,-0.000568,-0.220723,0,-0.000568,-0.220723,0
"5",0.04,"m1",1,0.999976,-0.006867,0,-0.001681,-0.318816,0,-0.001681,-0.318816,0
"6",0.05,"m1",1,0.999939,-0.011036,0,-0.003732,-0.416893,0,-0.003732,-0.416893,0
"7",0.06,"m1",1,0.999869,-0.016185,0,-0.007009,-0.51494,0,-0.007009,-0.51494,0
"8",0.07,"m1",1,0.999751,-0.022315,0,-0.011801,-0.612933,0,-0.011801,-0.612933,0
"9",0.08,"m1",1,0.999567,-0.029423,0,-0.018395,-0.710839,0,-0.018395,-0.710839,0
"10",0.09,"m1",1,0.999296,-0.037509,0,-0.027076,-0.808613,0,-0.027076,-0.808613,0
"11",0.1,"m1",1,0.998915,-0.046571,0,-0.038131,-0.906198,0,-0.038131,-0.906198,0
"12",0.11,"m1",1,0.998397,-0.056606,0,-0.05184,-1.00352,0,-0.05184,-1.00352,0
"13",0.12,"m1",1,0.997712,-0.067611,0,-0.068483,-1.100492,0,-0.068483,-1.100492,0
"14",0.13,"m1",1,0.996828,-0.079581,0,-0.088336,-1.197007,0,-0.088336,-1.197007,0
"15",0.14,"m1",1,0.995712,-0.092511,0,-0.111669,-1.29294,0,-0.111669,-1.29294,0
"16",0.15,"m1",1,0.994324,-0.106392,0,-0.138744,-1.388143,0,-0.138744,-1.388143,0
"17",0.16,"m1",1,0.992626,-0.121217,0,-0.169817,-1.482448,0,-0.169817,-1.482448,0
"18",0.17,"m1",1,0.990575,-0.136973,0,-0.205133,-1.575665,0,-0.205133,-1.575665,0
"19",0.18,"m1",1,0.988125,-0.153649,0,-0.244926,-1.667577,0,-0.244926,-1.667577,0
"20",0.19,"m1",1,0.985231,-0.171228,0,-0.289414,-1.757945,0,-0.289414,-1.757945,0
"21",0.2,"m1",1,0.981843,-0.189693,0,-0.338799,-1.846504,0,-0.338799,-1.846504,0
"22",0.21,"m1",1,0.977911,-0.209023,0,-0.393266,-1.932962,0,-0.393266,-1.932962,0
"23",0.22,"m1",1,0.973381,-0.229193,0,-0.452974,-2.017003,0,-0.452974,-2.017003,0
"24",0.23,"m1",1,0.9682,-0.250176,0,-0.518059,-2.098286,0,-0.518059,-2.098286,0
"25",0.24,"m1",1,0.962314,-0.27194,0,-0.588629,-2.176443,0,-0.588629,-2.176443,0
"26",0.25,"m1",1,0.955666,-0.294451,0,-0.66476,-2.251086,0,-0.66476,-2.251086,0
"27",0.26,"m1",1,0.948202,-0.317669,0,-0.746493,-2.321804,0,-0.746493,-2.321804,0
"28",0.27,"m1",1,0.939863,-0.341551,0,-0.833831,-2.388165,0,-0.833831,-2.388165,0
"29",0.28,"m1",1,0.930596,-0.366048,0,-0.926735,-2.449721,0,-0.926735,-2.449721,0
"30",0.29,"m1",1,0.920345,-0.391108,0,-1.025123,-2.50601,0,-1.025123,-2.50601,0
"31",0.3,"m1",1,0.909056,-0.416674,0,-1.128863,-2.55656,0,-1.128863,-2.55656,0
